contestacao_id,pedido_id,data_pedido,mes,cliente_hash,loja_id,cidade,categoria_loja,motivo,relato_cliente,relato_ausente,itens_pedido,itens_contestados,percentual_itens_contestados,selecao_completa,foto_anexada,idade_conta_dias,contestacoes_60d,recorrencia_alta,evidencia_incompativel,cluster_conta,conta_relacionada,status_resposta_loja,sem_resposta_loja,rota_decisao,decisao_final,valor_pedido,valor_reembolso,valor_alto,score_regra,faixa_risco,exposicao_confirmada,exposicao_potencial
CON00627,PED006578,2025-01-02,2025-01,anon_3f725edad8,LOJ0310,Campinas,Restaurante,item_faltante,Faltou um item do pedido e a loja não respondeu.,0,6,1,0.16666666666666666,0,1,322,0,0,1,,0,respondida,0,autoaprovada,aprovada,103.17,70.82,0,14,intermediario,1,70.82
CON00018,PED009136,2025-01-03,2025-01,anon_f33c8a3c60,LOJ0140,Sorocaba,Restaurante,pedido_incorreto,Recebi produtos diferentes do que selecionei.,0,5,2,0.4,0,0,2328,0,0,0,,0,respondida,0,autoaprovada,aprovada,86.18,68.82,0,0,baixo,0,0.0
CON00056,PED008624,2025-01-03,2025-01,anon_a324dd3e3c,LOJ0211,Campinas,Restaurante,qualidade,O produto estava com aparência ruim quando chegou.,0,2,1,0.5,0,1,884,2,0,0,GRP074,1,respondida,0,revisao_manual,negada,162.4,0.0,0,6,baixo,0,0.0
CON00101,PED000582,2025-01-03,2025-01,anon_97c7541786,LOJ0037,Sorocaba,Mercado,produto_avariado,A embalagem chegou aberta e o produto estava avariado.,0,3,2,0.6666666666666666,0,1,1430,2,0,0,,0,respondida,0,autoaprovada,aprovada,103.18,93.72,0,-8,baixo,0,0.0
CON00110,PED003046,2025-01-03,2025-01,anon_5c864a5bf9,LOJ0267,São Paulo,Restaurante,item_faltante,Não recebi todos os itens que estavam na nota.,0,4,1,0.25,0,1,16,0,0,0,,0,respondida,0,autoaprovada,aprovada,84.43,46.48,0,-8,baixo,0,0.0
CON00144,PED000505,2025-01-03,2025-01,anon_8d5a235321,LOJ0390,Sorocaba,Restaurante,pedido_incorreto,Entregaram outro item no lugar do que comprei.,0,2,1,0.5,0,0,1880,2,0,0,GRP053,1,respondida,0,autoaprovada,aprovada,107.24,44.6,0,14,baixo,0,0.0
CON00180,PED002055,2025-01-03,2025-01,anon_3f725edad8,LOJ0073,São Paulo,Restaurante,pedido_incorreto,O pedido veio errado e preciso corrigir a cobrança.,0,2,1,0.5,0,1,2353,2,0,0,,0,sem_resposta,1,autoaprovada,aprovada,133.51,97.59,0,8,baixo,0,0.0
CON00189,PED008526,2025-01-03,2025-01,anon_cd510e3b1e,LOJ0320,Sorocaba,Restaurante,item_faltante,Faltou um item do pedido e a loja não respondeu.,0,5,5,1.0,1,1,666,0,0,0,,0,respondida,0,negada_ou_retirada,retirada,62.41,0.0,0,17,intermediario,0,0.0
CON00196,PED003100,2025-01-03,2025-01,anon_a2bf29f4e5,LOJ0186,Sorocaba,Restaurante,nao_entregue,O pedido não chegou no endereço informado.,0,3,1,0.3333333333333333,0,0,1162,0,0,0,,0,respondida,0,autoaprovada,aprovada,62.78,32.37,0,0,baixo,0,0.0
CON00202,PED007518,2025-01-03,2025-01,anon_d577a6e3d3,LOJ0158,Campinas,Restaurante,item_faltante,"O pedido chegou incompleto, faltou parte da compra.",0,6,6,1.0,1,1,2105,0,0,0,,0,sem_resposta,1,autoaprovada,aprovada,108.9,94.94,0,33,alto,0,0.0
CON00224,PED009143,2025-01-03,2025-01,anon_4db59ba379,LOJ0225,Santos,Restaurante,nao_entregue,O pedido não chegou no endereço informado.,0,2,2,1.0,1,1,1252,0,0,0,,0,respondida,0,revisao_manual,aprovada,79.97,53.84,0,17,intermediario,0,0.0
CON00247,PED001920,2025-01-03,2025-01,anon_1dc1cf5706,LOJ0193,Santos,Restaurante,produto_avariado,O item vazou durante a entrega e não dava para consumir.,0,5,4,0.8,0,0,2268,0,0,1,,0,respondida,0,autoaprovada,aprovada,60.78,54.45,0,22,intermediario,0,0.0
CON00273,PED001475,2025-01-03,2025-01,anon_af492eb9da,LOJ0348,Campinas,Mercado,qualidade,O produto estava com aparência ruim quando chegou.,0,2,1,0.5,0,1,13,5,1,0,,0,respondida,0,revisao_manual,aprovada,95.2,58.12,0,12,baixo,0,0.0
CON00308,PED002778,2025-01-03,2025-01,anon_fc15f4c224,LOJ0122,Campinas,Restaurante,pedido_incorreto,Entregaram outro item no lugar do que comprei.,0,3,3,1.0,1,1,397,0,0,0,,0,sem_resposta,1,autoaprovada,aprovada,85.13,71.83,0,33,alto,0,0.0
CON00382,PED000213,2025-01-03,2025-01,anon_e6f74ec2b0,LOJ0289,Santos,Restaurante,item_faltante,"O pedido chegou incompleto, faltou parte da compra.",0,2,1,0.5,0,1,332,0,0,1,,0,respondida,0,autoaprovada,aprovada,98.81,70.06,0,14,baixo,1,70.06
CON00404,PED002861,2025-01-03,2025-01,anon_db13248d91,LOJ0292,São Paulo,Mercado,qualidade,A comida chegou fria e com qualidade abaixo do esperado.,0,7,5,0.7142857142857143,0,1,2353,0,0,0,,0,respondida,0,negada_ou_retirada,negada,36.13,0.0,0,-8,baixo,0,0.0
CON00498,PED004529,2025-01-03,2025-01,anon_2def14837c,LOJ0125,Sorocaba,Restaurante,qualidade,O produto estava com aparência ruim quando chegou.,0,7,7,1.0,1,1,1475,0,0,0,,0,sem_resposta,1,revisao_manual,negada,82.12,0.0,0,33,alto,0,0.0
CON00546,PED005249,2025-01-03,2025-01,anon_6d9d98f50a,LOJ0176,São Paulo,Restaurante,item_faltante,"O pedido chegou incompleto, faltou parte da compra.",0,2,1,0.5,0,1,434,1,0,0,,0,sem_resposta,1,autoaprovada,aprovada,53.73,34.99,0,8,baixo,0,0.0
CON00553,PED004879,2025-01-03,2025-01,anon_3f165752f5,LOJ0299,Campinas,Restaurante,qualidade,A qualidade não correspondeu ao que foi anunciado.,0,5,5,1.0,1,1,1234,0,0,0,,0,sem_resposta,1,autoaprovada,aprovada,63.63,43.4,0,33,alto,0,0.0
CON00607,PED003167,2025-01-03,2025-01,anon_a4e317f1d2,LOJ0236,São Paulo,Restaurante,qualidade,A comida chegou fria e com qualidade abaixo do esperado.,0,5,2,0.4,0,1,1172,0,0,0,GRP096,1,respondida,0,revisao_manual,aprovada,79.65,54.82,0,6,baixo,0,0.0
CON00624,PED008450,2025-01-03,2025-01,anon_646d9d0911,LOJ0147,São Paulo,Mercado,qualidade,A qualidade não correspondeu ao que foi anunciado.,0,6,3,0.5,0,0,1164,0,0,0,,0,respondida,0,negada_ou_retirada,retirada,82.38,0.0,0,0,baixo,0,0.0
CON00631,PED000972,2025-01-03,2025-01,anon_231e1fd41d,LOJ0022,São Paulo,Mercado,produto_avariado,O item vazou durante a entrega e não dava para consumir.,0,2,1,0.5,0,1,116,0,0,0,,0,sem_resposta,1,autoaprovada,aprovada,96.32,65.4,0,8,baixo,0,0.0
CON00006,PED003837,2025-01-04,2025-01,anon_bf6027dbe3,LOJ0415,Campinas,Restaurante,item_faltante,"O pedido chegou incompleto, faltou parte da compra.",0,3,1,0.3333333333333333,0,1,2216,1,0,0,,0,respondida,0,autoaprovada,aprovada,99.4,20.58,0,-8,baixo,0,0.0
CON00010,PED007264,2025-01-04,2025-01,anon_2f5691100a,LOJ0258,Campinas,Restaurante,nao_entregue,"O aplicativo marcou como entregue, mas não recebi o pedido.",0,5,3,0.6,0,0,1536,0,0,0,,0,sem_resposta,1,autoaprovada,aprovada,74.54,67.14,0,16,intermediario,0,0.0
CON00057,PED007033,2025-01-04,2025-01,anon_4f2a338da3,LOJ0150,Campinas,Restaurante,nao_entregue,O pedido não chegou no endereço informado.,0,2,1,0.5,0,1,2252,2,0,0,,0,sem_resposta,1,revisao_manual,negada,91.09,0.0,0,8,baixo,0,0.0
CON00073,PED005238,2025-01-04,2025-01,anon_a6af796fb7,LOJ0395,Campinas,Mercado,pedido_incorreto,Recebi produtos diferentes do que selecionei.,0,4,4,1.0,1,1,284,1,0,0,,0,respondida,0,autoaprovada,aprovada,180.04,44.37,0,17,intermediario,0,0.0
CON00085,PED001435,2025-01-04,2025-01,anon_b4f8b5510d,LOJ0100,Campinas,Restaurante,item_faltante,Faltou um item do pedido e a loja não respondeu.,0,4,1,0.25,0,1,1435,0,0,0,GRP013,1,respondida,0,autoaprovada,aprovada,85.45,32.66,0,6,baixo,0,0.0
CON00089,PED002752,2025-01-04,2025-01,anon_24c6b1279e,LOJ0041,Campinas,Restaurante,pedido_incorreto,O pedido veio errado e preciso corrigir a cobrança.,0,7,5,0.7142857142857143,0,1,1861,0,0,0,GRP038,1,respondida,0,autoaprovada,aprovada,67.91,44.13,0,6,baixo,0,0.0
CON00111,PED003736,2025-01-04,2025-01,anon_98c1cec2c8,LOJ0244,São Paulo,Restaurante,nao_entregue,O pedido não chegou no endereço informado.,0,3,3,1.0,1,1,53,0,0,0,,0,sem_resposta,1,autoaprovada,aprovada,65.36,42.83,0,33,alto,1,42.83
CON00119,PED001874,2025-01-04,2025-01,anon_a9b163f012,LOJ0180,São Paulo,Mercado,pedido_incorreto,Entregaram outro item no lugar do que comprei.,0,2,1,0.5,0,1,1320,2,0,0,GRP118,1,sem_resposta,1,autoaprovada,aprovada,93.91,73.69,0,22,intermediario,0,0.0
CON00132,PED003136,2025-01-04,2025-01,anon_ab11c00d6f,LOJ0135,São Paulo,Restaurante,item_faltante,Faltou um item do pedido e a loja não respondeu.,0,3,2,0.6666666666666666,0,1,1295,1,0,0,,0,sem_resposta,1,autoaprovada,aprovada,143.68,135.17,1,16,intermediario,1,135.17
CON00228,PED005787,2025-01-04,2025-01,anon_e547ee1c3f,LOJ0311,São Paulo,Restaurante,qualidade,O produto estava com aparência ruim quando chegou.,0,3,2,0.6666666666666666,0,0,2140,1,0,0,,0,respondida,0,autoaprovada,aprovada,77.1,62.72,0,0,baixo,0,0.0
CON00287,PED001754,2025-01-04,2025-01,anon_f6e11e936a,LOJ0283,Sorocaba,Farmácia,produto_avariado,O produto chegou danificado dentro da sacola.,0,7,6,0.8571428571428571,0,0,2161,0,0,0,,0,sem_resposta,1,autoaprovada,aprovada,72.62,65.18,0,16,intermediario,0,0.0
CON00306,PED009142,2025-01-04,2025-01,anon_33c7023230,LOJ0054,Sorocaba,Farmácia,pedido_incorreto,Entregaram outro item no lugar do que comprei.,0,3,2,0.6666666666666666,0,1,2348,0,0,0,,0,sem_resposta,1,revisao_manual,negada,54.08,0.0,0,8,baixo,0,0.0
CON00307,PED000219,2025-01-04,2025-01,anon_5220ccee9c,LOJ0064,Santos,Restaurante,item_faltante,"O pedido chegou incompleto, faltou parte da compra.",0,2,1,0.5,0,0,1982,0,0,0,GRP036,1,respondida,0,autoaprovada,aprovada,88.34,40.94,0,14,baixo,0,0.0
CON00380,PED004079,2025-01-04,2025-01,anon_021fb33190,LOJ0323,Santos,Restaurante,pedido_incorreto,O pedido veio errado e preciso corrigir a cobrança.,0,7,7,1.0,1,1,528,1,0,0,,0,respondida,0,autoaprovada,aprovada,125.01,118.04,1,25,intermediario,0,0.0
CON00453,PED003243,2025-01-04,2025-01,anon_89f580b631,LOJ0351,Santos,Restaurante,pedido_incorreto,Recebi produtos diferentes do que selecionei.,0,7,6,0.8571428571428571,0,0,907,1,0,0,,0,respondida,0,negada_ou_retirada,retirada,34.52,0.0,0,0,baixo,0,0.0
CON00474,PED002266,2025-01-04,2025-01,anon_69004b461a,LOJ0052,São Paulo,Restaurante,qualidade,A qualidade não correspondeu ao que foi anunciado.,0,6,1,0.16666666666666666,0,1,1210,1,0,0,,0,respondida,0,autoaprovada,aprovada,107.33,82.57,0,-8,baixo,0,0.0
CON00508,PED005111,2025-01-04,2025-01,anon_f37f04f5bb,LOJ0046,Santos,Restaurante,produto_avariado,O item vazou durante a entrega e não dava para consumir.,0,7,1,0.14285714285714285,0,1,15,0,0,0,,0,respondida,0,autoaprovada,aprovada,84.62,32.82,0,-8,baixo,0,0.0
CON00514,PED003102,2025-01-04,2025-01,anon_cdc4f4722f,LOJ0388,Santos,Restaurante,item_faltante,"O pedido chegou incompleto, faltou parte da compra.",0,2,1,0.5,0,1,306,2,0,0,,0,respondida,0,autoaprovada,aprovada,132.32,113.96,1,0,baixo,0,0.0
CON00515,PED000988,2025-01-04,2025-01,anon_ab36a81dee,LOJ0143,Campinas,Restaurante,item_faltante,"O pedido chegou incompleto, faltou parte da compra.",0,5,1,0.2,0,1,2047,1,0,0,,0,sem_resposta,1,autoaprovada,aprovada,101.45,79.04,0,8,baixo,0,0.0
CON00538,PED004693,2025-01-04,2025-01,anon_f3669b0854,LOJ0400,Campinas,Farmácia,item_faltante,Faltou um item do pedido e a loja não respondeu.,0,4,3,0.75,0,1,2254,0,0,0,,0,respondida,0,autoaprovada,aprovada,97.66,68.26,0,-8,baixo,0,0.0
CON00540,PED006980,2025-01-04,2025-01,anon_b166f84441,LOJ0214,Campinas,Restaurante,produto_avariado,O produto chegou danificado dentro da sacola.,0,3,1,0.3333333333333333,0,1,271,0,0,0,,0,sem_resposta,1,autoaprovada,aprovada,67.37,41.32,0,8,baixo,0,0.0
CON00557,PED000917,2025-01-04,2025-01,anon_048284c1ba,LOJ0007,São Paulo,Restaurante,nao_entregue,O pedido não chegou no endereço informado.,0,3,2,0.6666666666666666,0,0,1018,0,0,0,,0,respondida,0,autoaprovada,aprovada,82.03,48.47,0,0,baixo,0,0.0
CON00575,PED008399,2025-01-04,2025-01,anon_d471de0f94,LOJ0044,Santos,Farmácia,pedido_incorreto,O pedido veio errado e preciso corrigir a cobrança.,0,5,2,0.4,0,1,2066,0,0,0,,0,sem_resposta,1,autoaprovada,aprovada,69.38,39.28,0,8,baixo,0,0.0
CON00602,PED001073,2025-01-04,2025-01,anon_e1011d4a71,LOJ0102,São Paulo,Restaurante,nao_entregue,"O aplicativo marcou como entregue, mas não recebi o pedido.",0,2,1,0.5,0,1,193,0,0,0,,0,sem_resposta,1,negada_ou_retirada,negada,86.33,0.0,0,8,baixo,0,0.0
CON00613,PED006523,2025-01-04,2025-01,anon_9273d4c987,LOJ0165,São Paulo,Mercado,qualidade,O produto estava com aparência ruim quando chegou.,0,7,3,0.42857142857142855,0,1,1570,2,0,0,,0,respondida,0,autoaprovada,aprovada,74.88,41.2,0,-8,baixo,0,0.0
CON00661,PED000515,2025-01-04,2025-01,anon_cdd531a14e,LOJ0295,São Paulo,Farmácia,item_faltante,Não recebi todos os itens que estavam na nota.,0,2,1,0.5,0,1,250,0,0,0,,0,respondida,0,negada_ou_retirada,negada,32.95,0.0,0,-8,baixo,0,0.0
CON00005,PED004089,2025-01-05,2025-01,anon_aada768c4b,LOJ0142,São Paulo,Restaurante,qualidade,O produto estava com aparência ruim quando chegou.,0,7,6,0.8571428571428571,0,0,1133,1,0,0,,0,respondida,0,autoaprovada,aprovada,86.73,55.25,0,0,baixo,0,0.0
CON00075,PED001680,2025-01-05,2025-01,anon_a2ce2a18f2,LOJ0390,Campinas,Mercado,produto_avariado,O item vazou durante a entrega e não dava para consumir.,0,3,3,1.0,1,0,1728,2,0,0,,0,sem_resposta,1,revisao_manual,aprovada,111.19,50.61,0,41,alto,1,50.61
CON00082,PED005773,2025-01-05,2025-01,anon_066befe770,LOJ0201,São Paulo,Mercado,nao_entregue,"O aplicativo marcou como entregue, mas não recebi o pedido.",0,5,1,0.2,0,1,1861,0,0,0,,0,sem_resposta,1,revisao_manual,aprovada,130.17,75.91,0,8,baixo,0,0.0
