contestacao_id,pedido_id,data_pedido,cliente_id,loja_id,itens_pedido,valor_pedido,motivo,relato_cliente,foto_anexada,idade_conta_dias,contestacoes_60d,itens_contestados,evidencia_incompativel,cluster_conta,status_resposta_loja,rota_decisao,decisao_final,valor_reembolso,exposicao_confirmada
CON00082,PED005773,2025-01-05,CLI07746,LOJ0201,5,130.17,nao_entregue,"O aplicativo marcou como entregue, mas não recebi o pedido.",1,1861,0,1,0,,SEM RESPOSTA,revisao_manual,aprovada,"75,91",0
CON00083,PED004646,2025-01-12,CLI12401,LOJ0113,3,89.90,pedido_incorreto,Entregaram outro item no lugar do que comprei.,1,338,0,3,0,,respondida,negada_ou_retirada,negada,0.00,0
CON00084,PED000965,2025-01-07,CLI11076,LOJ0209,4,117.90,pedido_incorreto,Recebi produtos diferentes do que selecionei.,0,1954,1,1,0,,respondida,autoaprovada,aprovada,40.04,0
CON00085,PED001435,04/01/2025,CLI00161,LOJ0100,4,"85,45",item_faltante,Faltou um item do pedido e a loja não respondeu.,1,1435,0,1,0,GRP013,respondida,autoaprovada,aprovada,32.66,0
CON00086,PED001882,2025-01-20,CLI13054,LOJ0195,7,130.26,qualidade,O produto estava com aparência ruim quando chegou.,1,2253,1,7,0,,sem resposta,autoaprovada,aprovada,"R$ 24,46",0
CON00087,PED007898,2025-01-06,CLI01892,LOJ0319,4,126.74,pedido_incorreto,Recebi produtos diferentes do que selecionei.,1,2340,0,4,0,,SEM RESPOSTA,autoaprovada,aprovada,101.04,1
CON00088,PED006146,2025-01-18,CLI05266,LOJ0165,2,68.84,qualidade,A comida chegou fria e com qualidade abaixo do esperado.,1,1806,0,1,0,,respondida,autoaprovada,aprovada,34.27,0
CON00089,PED002752,2025-01-04,CLI03418,LOJ0041,7,"R$ 67,91",pedido_incorreto,O pedido veio errado e preciso corrigir a cobrança.,1,1861,0,5,0,GRP038,respondida,autoaprovada,aprovada,"44,13",0
CON00090,PED001384,2025-01-27,CLI02525,LOJ0060,3,100.30,item_faltante,Faltou um item do pedido e a loja não respondeu.,1,1758,0,1,0,,sem_resposta,autoaprovada,aprovada,92.48,0
CON00091,PED008750,15/01/2025,CLI02975,LOJ0009,4,57.08,item_faltante,Faltou um item do pedido e a loja não respondeu.,1,1201,1,1,0,,sem resposta,autoaprovada,aprovada,46.83,0
CON00092,PED005611,2025-01-25,CLI07889,LOJ0169,3,"71,25",item_faltante,Faltou um item do pedido e a loja não respondeu.,1,1977,0,1,0,,respondida,autoaprovada,aprovada,41.83,0
CON00093,PED005492,2025-01-06,CLI00457,LOJ0222,4,125.72,PRODUTO AVARIADO,A embalagem chegou aberta e o produto estava avariado.,0,1007,0,3,0,GRP028,sem_resposta,autoaprovada,aprovada,42.15,0
CON00094,PED005273,2025-01-16,CLI08321,LOJ0377,5,93.87,item_faltante,Faltou um item do pedido e a loja não respondeu.,1,1013,0,1,0,,respondida,autoaprovada,aprovada,58.09,0
CON00095,PED000648,2025-01-05,CLI03964,LOJ0358,5,146.38,nao_entregue,"O aplicativo marcou como entregue, mas não recebi o pedido.",1,582,0,5,0,,respondida,autoaprovada,aprovada,115.75,0
CON00096,PED004227,2025-01-14,CLI16969,LOJ0314,3,57.32,item_faltante,Não recebi todos os itens que estavam na nota.,1,1204,1,2,1,GRP047,respondida,revisao_manual,aprovada,"37,28",1
CON00097,PED001643,01/01/2025,CLI08641,LOJ0390,6,89.77,item_faltante,Faltou um item do pedido e a loja não respondeu.,0,27,2,4,0,,respondida,revisao_manual,negada,"R$ 0,00",0
CON00098,PED007379,2025-01-14,CLI15492,LOJ0421,3,104.79,produto_avariado,O produto chegou danificado dentro da sacola.,1,549,0,2,0,,respondida,autoaprovada,aprovada,41.18,0
CON00099,PED001829,2025-01-06,CLI04114,LOJ0305,4,"74,52",item_faltante,Faltou um item do pedido e a loja não respondeu.,0,1398,1,3,0,,respondida,autoaprovada,aprovada,59.80,1
CON00100,PED008510,2025-01-06,CLI14690,LOJ0082,2,"R$ 107,22",produto_avariado,O produto chegou danificado dentro da sacola.,1,1204,1,1,0,,SEM RESPOSTA,autoaprovada,aprovada,72.05,0
CON00101,PED000582,2025-01-03,CLI10077,LOJ0037,3,103.18,produto_avariado,A embalagem chegou aberta e o produto estava avariado.,1,1430,2,2,0,,respondida,autoaprovada,aprovada,93.72,0
CON00102,PED002139,2025-01-09,CLI06924,LOJ0078,4,86.58,qualidade,A qualidade não correspondeu ao que foi anunciado.,1,1560,0,1,0,,respondida,autoaprovada,aprovada,47.21,0
CON00103,PED003338,17/01/2025,CLI07151,LOJ0384,5,99.83,item_faltante,Não recebi todos os itens que estavam na nota.,0,80,2,4,0,,sem resposta,autoaprovada,aprovada,"53,69",0
CON00104,PED004844,2025-01-25,CLI02849,LOJ0173,6,83.23,item_faltante,"O pedido chegou incompleto, faltou parte da compra.",1,1814,1,6,0,,SEM RESPOSTA,negada_ou_retirada,negada,0.00,0
CON00105,PED002166,2025-01-02,CLI04133,LOJ0328,7,98.85,produto_avariado,O produto chegou danificado dentro da sacola.,1,2160,0,7,0,,respondida,autoaprovada,aprovada,65.28,1
CON00106,PED005988,2025-01-15,CLI17688,LOJ0062,2,"91,62",qualidade,A comida chegou fria e com qualidade abaixo do esperado.,1,292,0,1,0,,sem_resposta,revisao_manual,negada,0.00,0
CON00107,PED000792,2025-01-11,CLI06882,LOJ0148,4,78.47,pedido_incorreto,Recebi produtos diferentes do que selecionei.,0,2271,0,4,0,,sem resposta,autoaprovada,aprovada,42.21,1
CON00108,PED003675,2025-01-12,CLI12306,LOJ0220,5,120.32,nao_entregue,O pedido não chegou no endereço informado.,0,1180,0,3,0,,sem_resposta,autoaprovada,aprovada,"R$ 101,83",0
CON00109,PED006486,09/01/2025,CLI05089,LOJ0272,4,124.55,item_faltante,Faltou um item do pedido e a loja não respondeu.,0,457,1,3,0,,respondida,autoaprovada,aprovada,91.43,1
CON00110,PED003046,2025-01-03,CLI15906,LOJ0267,4,84.43,item_faltante,Não recebi todos os itens que estavam na nota.,1,16,0,1,0,,respondida,autoaprovada,aprovada,"46,48",0
CON00111,PED003736,2025-01-04,CLI11069,LOJ0244,3,"R$ 65,36",nao_entregue,O pedido não chegou no endereço informado.,1,53,0,3,0,,SEM RESPOSTA,autoaprovada,aprovada,42.83,1
CON00112,PED000744,2025-01-22,CLI03636,LOJ0176,4,90.69,nao_entregue,"Consta entrega concluída, porém nada foi recebido.",1,1285,0,4,0,,respondida,autoaprovada,aprovada,70.68,0
CON00113,PED003894,2025-01-07,CLI04315,LOJ0066,5,"47,54",qualidade,O produto estava com aparência ruim quando chegou.,1,2320,1,2,0,,respondida,negada_ou_retirada,negada,0.00,0
CON00114,PED000809,2025-01-23,CLI17217,LOJ0259,4,102.33,pedido_incorreto,O pedido veio errado e preciso corrigir a cobrança.,1,2185,1,1,0,,respondida,autoaprovada,aprovada,37.55,0
CON00115,PED004588,20/01/2025,CLI05847,LOJ0039,6,135.87,produto_avariado,A embalagem chegou aberta e o produto estava avariado.,1,1920,0,4,0,,sem resposta,autoaprovada,aprovada,97.90,0
CON00116,PED002362,2025-01-07,CLI07800,LOJ0208,6,144.24,ITEM FALTANTE,"O pedido chegou incompleto, faltou parte da compra.",0,1631,0,1,0,,respondida,revisao_manual,aprovada,114.32,0
CON00117,PED003462,2025-01-19,CLI13357,LOJ0135,6,128.45,pedido_incorreto,O pedido veio errado e preciso corrigir a cobrança.,1,1455,1,6,0,,respondida,negada_ou_retirada,retirada,"0,00",0
CON00118,PED004057,2025-01-07,CLI05315,LOJ0062,6,76.70,pedido_incorreto,O pedido veio errado e preciso corrigir a cobrança.,1,390,1,6,0,,respondida,revisao_manual,negada,0.00,0
CON00119,PED001874,2025-01-04,CLI11782,LOJ0180,2,93.91,pedido_incorreto,Entregaram outro item no lugar do que comprei.,1,1320,2,1,0,GRP118,SEM RESPOSTA,autoaprovada,aprovada,"R$ 73,69",0
CON00120,PED008572,2025-01-29,CLI03377,LOJ0013,4,"76,12",produto_avariado,O produto chegou danificado dentro da sacola.,0,194,0,1,0,,respondida,autoaprovada,aprovada,47.05,0
CON00121,PED008563,05/01/2025,CLI13158,LOJ0228,6,113.34,item_faltante,"O pedido chegou incompleto, faltou parte da compra.",1,763,1,3,0,,sem_resposta,autoaprovada,aprovada,53.04,0
CON00122,PED001533,2025-01-14,CLI09328,LOJ0359,3,"R$ 80,28",nao_entregue,O pedido não chegou no endereço informado.,0,886,0,1,0,,sem resposta,autoaprovada,aprovada,43.82,0
CON00123,PED000185,2025-01-27,CLI03671,LOJ0295,5,88.09,pedido_incorreto,O pedido veio errado e preciso corrigir a cobrança.,1,1187,0,2,0,,sem_resposta,autoaprovada,aprovada,63.05,0
CON00124,PED002690,2025-01-23,CLI06612,LOJ0076,6,70.22,pedido_incorreto,O pedido veio errado e preciso corrigir a cobrança.,1,1085,0,4,0,,respondida,autoaprovada,aprovada,"59,47",0
CON00125,PED001047,2025-01-31,CLI07740,LOJ0124,2,134.64,item_faltante,Faltou um item do pedido e a loja não respondeu.,1,1562,0,2,1,,SEM RESPOSTA,autoaprovada,aprovada,112.51,1
CON00126,PED001876,2025-01-14,CLI16126,LOJ0221,4,126.98,item_faltante,"O pedido chegou incompleto, faltou parte da compra.",0,1482,1,1,0,,respondida,autoaprovada,aprovada,109.19,0
CON00127,PED000482,05/01/2025,CLI16297,LOJ0230,7,"69,29",qualidade,O produto estava com aparência ruim quando chegou.,1,1164,0,3,0,,respondida,autoaprovada,aprovada,40.40,0
CON00128,PED008824,2025-01-19,CLI10638,LOJ0449,2,103.74,pedido_incorreto,O pedido veio errado e preciso corrigir a cobrança.,1,2048,0,1,0,,respondida,autoaprovada,aprovada,98.34,0
CON00129,PED007780,2025-01-15,CLI15760,LOJ0336,7,82.10,qualidade,A qualidade não correspondeu ao que foi anunciado.,1,1565,1,5,0,,sem resposta,autoaprovada,aprovada,29.30,0
CON00130,PED004310,2025-01-30,CLI09161,LOJ0345,2,88.90,item_faltante,Faltou um item do pedido e a loja não respondeu.,1,1780,1,1,0,,respondida,negada_ou_retirada,retirada,"R$ 0,00",0
CON00131,PED000758,2025-01-31,CLI15145,LOJ0157,7,107.33,nao_entregue,O pedido não chegou no endereço informado.,1,712,1,3,0,,respondida,autoaprovada,aprovada,"38,42",0
CON00132,PED003136,2025-01-04,CLI08277,LOJ0135,3,143.68,item_faltante,Faltou um item do pedido e a loja não respondeu.,1,1295,1,2,0,,SEM RESPOSTA,autoaprovada,aprovada,135.17,1
CON00133,PED008496,05/01/2025,CLI17297,LOJ0066,2,"R$ 81,03",nao_entregue,O pedido não chegou no endereço informado.,1,1912,2,1,0,,sem_resposta,autoaprovada,aprovada,44.65,0
CON00134,PED002015,2025-01-23,CLI11782,LOJ0135,3,"81,23",nao_entregue,"Consta entrega concluída, porém nada foi recebido.",0,2103,0,1,0,GRP080,sem resposta,revisao_manual,aprovada,58.88,0
CON00135,PED000789,2025-01-08,CLI07108,LOJ0215,3,83.75,produto_avariado,O produto chegou danificado dentro da sacola.,1,1748,0,1,0,,respondida,autoaprovada,aprovada,76.66,0
CON00136,PED004322,2025-01-09,CLI06016,LOJ0156,7,75.81,item_faltante,Faltou um item do pedido e a loja não respondeu.,0,1888,1,5,1,,respondida,revisao_manual,aprovada,47.41,0
