pedido_id,data_pedido,cliente_id,loja_id,cidade,categoria_loja,itens_pedido,valor_pedido,status_pedido
PED000025,31/01/2025,CLI07827,LOJ0327,Campinas,Mercado,2,67.76,concluido
PED000026,2025-01-30,CLI01141,LOJ0084,Campinas,Pet shop,6,107.72,concluido
PED000027,2025-01-01,CLI12396,LOJ0308,Campinas,Restaurante,7,34.44,concluido
PED000028,2025-01-02,CLI03240,LOJ0064,Santos,Restaurante,4,75.12,concluido
PED000029,2025-01-21,CLI10879,LOJ0409,São Paulo,Mercado,6,"76,62",concluido
PED000030,2025-01-15,CLI11925,LOJ0260,Santos,Restaurante,7,68.31,concluido
PED000031,15/01/2025,CLI07791,LOJ0200,Campinas,Farmácia,6,44.59,concluido
PED000032,2025-01-25,CLI01140,LOJ0295,Santos,Restaurante,3,126.38,concluido
PED000033,2025-01-01,CLI17214,LOJ0031,Sorocaba,Restaurante,7,102.14,concluido
PED000034,2025-01-10,CLI10324,LOJ0357,Santos,Restaurante,3,"R$ 40,26",concluido
PED000035,2025-01-15,CLI13943,LOJ0248,Campinas,Restaurante,3,70.68,concluido
PED000036,2025-01-19,CLI06291,LOJ0225,São Paulo,Restaurante,5,"83,15",concluido
PED000037,10/01/2025,CLI15051,LOJ0427,São Paulo,Restaurante,2,69.46,concluido
PED000038,2025-01-15,CLI04700,LOJ0383,São Paulo,Restaurante,7,51.39,concluido
PED000039,2025-01-30,CLI14212,LOJ0419,SÃO PAULO,Restaurante,3,78.45,concluido
PED000040,2025-01-11,CLI13576,LOJ0342,Campinas,Restaurante,4,69.29,concluido
PED000041,2025-01-12,CLI08965,LOJ0316,Campinas,Restaurante,1,47.65,concluido
PED000042,2025-01-21,CLI12051,LOJ0172,São Paulo,Restaurante,5,122.73,concluido
PED000043,31/01/2025,CLI16716,LOJ0272,Campinas,Restaurante,5,"44,89",concluido
PED000044,2025-01-21,CLI04179,LOJ0043,Campinas,Restaurante,6,105.52,concluido
PED000045,2025-01-17,CLI10078,LOJ0369,Santos,Restaurante,1,"R$ 79,63",concluido
PED000046,2025-01-10,CLI07178,LOJ0133,Sorocaba,Restaurante,5,109.58,concluido
PED000047,2025-01-04,CLI05599,LOJ0437,São Paulo,Restaurante,5,130.92,concluido
PED000048,2025-01-25,CLI09768,LOJ0368,Sorocaba,Restaurante,7,82.95,concluido
PED000049,17/01/2025,CLI15263,LOJ0003,Campinas,Restaurante,4,76.86,concluido
PED000050,2025-01-24,CLI09081,LOJ0205,Campinas,Restaurante,2,"87,08",concluido
PED000051,2025-01-26,CLI07683,LOJ0347,Campinas,Restaurante,5,50.89,concluido
PED000052,2025-01-16,CLI03457,LOJ0413,Sorocaba,Restaurante,4,46.61,concluido
PED000053,2025-01-12,CLI17221,LOJ0379,Campinas,Farmácia,6,47.75,concluido
PED000054,2025-01-26,CLI09072,LOJ0370,Santos,Farmácia,4,92.19,concluido
PED000055,24/01/2025,CLI10105,LOJ0028,Campinas,Restaurante,5,34.59,concluido
PED000056,2025-01-23,CLI11142,LOJ0123,Campinas,Farmácia,3,"R$ 73,81",concluido
PED000057,2025-01-24,CLI14165,LOJ0057,Sorocaba,Restaurante,6,"70,27",concluido
PED000058,2025-01-13,CLI13312,LOJ0349,SOROCABA,Pet shop,2,57.99,concluido
PED000059,2025-01-15,CLI11765,LOJ0006,São Paulo,Restaurante,6,67.27,concluido
PED000060,2025-01-13,CLI15116,LOJ0255,Sorocaba,Restaurante,7,139.35,concluido
PED000061,22/01/2025,CLI08567,LOJ0031,São Paulo,Mercado,7,72.04,concluido
PED000062,2025-01-25,CLI15720,LOJ0237,São Paulo,Restaurante,5,82.67,concluido
PED000063,2025-01-10,CLI07902,LOJ0015,Sorocaba,Restaurante,4,69.26,concluido
PED000064,2025-01-23,CLI13559,LOJ0443,Sorocaba,Mercado,3,"110,69",concluido
PED000065,2025-01-02,CLI17121,LOJ0179,Campinas,Restaurante,7,79.44,concluido
PED000066,2025-01-13,CLI05351,LOJ0233,Santos,Restaurante,5,141.33,concluido
PED000067,20/01/2025,CLI08628,LOJ0387,Campinas,Restaurante,5,"R$ 75,67",concluido
PED000068,2025-01-02,CLI00423,LOJ0221,Campinas,Restaurante,2,98.80,concluido
PED000069,2025-01-19,CLI12008,LOJ0436,Santos,Restaurante,5,109.49,concluido
PED000070,2025-01-29,CLI17125,LOJ0438,Santos,Restaurante,3,55.63,concluido
PED000071,2025-01-10,CLI00095,LOJ0160,Campinas,Mercado,1,"31,45",concluido
PED000072,2025-01-23,CLI16173,LOJ0249,Sorocaba,Farmácia,6,140.13,concluido
PED000073,22/01/2025,CLI04204,LOJ0110,Campinas,Restaurante,5,54.44,concluido
PED000074,2025-01-22,CLI05525,LOJ0138,Sorocaba,Mercado,6,104.05,concluido
PED000075,2025-01-15,CLI08206,LOJ0328,Santos,Mercado,6,135.12,concluido
PED000076,2025-01-25,CLI01588,LOJ0355,Campinas,Restaurante,5,59.26,concluido
PED000077,2025-01-31,CLI13939,LOJ0103,SÃO PAULO,Restaurante,1,60.92,concluido
PED000078,2025-01-26,CLI10062,LOJ0102,Campinas,Mercado,2,"R$ 60,35",concluido
PED000079,13/01/2025,CLI06012,LOJ0429,Campinas,Restaurante,7,114.29,concluido
PED000080,2025-01-03,CLI10757,LOJ0217,Santos,Mercado,5,59.35,concluido
PED000081,2025-01-28,CLI13771,LOJ0421,Sorocaba,Restaurante,3,87.90,concluido
PED000082,2025-01-14,CLI00971,LOJ0005,Sorocaba,Mercado,7,60.57,concluido
PED000083,2025-01-16,CLI10600,LOJ0149,Campinas,Restaurante,7,77.51,concluido
PED000084,2025-01-08,CLI13026,LOJ0439,Santos,Restaurante,5,52.46,concluido
PED000085,13/01/2025,CLI09566,LOJ0067,Campinas,Mercado,6,"115,87",concluido
PED000086,2025-01-29,CLI12895,LOJ0122,Santos,Restaurante,3,130.42,concluido
PED000087,2025-01-03,CLI16080,LOJ0289,Santos,Restaurante,6,91.97,concluido
PED000088,2025-01-07,CLI04902,LOJ0101,Sorocaba,Restaurante,6,68.12,concluido
PED000089,2025-01-01,CLI15013,LOJ0406,Campinas,Restaurante,7,"R$ 145,00",concluido
PED000090,2025-01-01,CLI10365,LOJ0164,Campinas,Restaurante,7,66.63,concluido
PED000091,23/01/2025,CLI16852,LOJ0053,São Paulo,Restaurante,4,102.24,concluido
PED000092,2025-01-15,CLI15520,LOJ0090,Campinas,Restaurante,7,"64,98",concluido
PED000093,2025-01-14,CLI01926,LOJ0426,Campinas,Restaurante,5,34.17,concluido
PED000094,2025-01-06,CLI15879,LOJ0304,São Paulo,Restaurante,6,51.54,concluido
PED000095,2025-01-08,CLI11338,LOJ0371,São Paulo,Restaurante,3,84.42,concluido
PED000096,2025-01-20,CLI03853,LOJ0281,SÃO PAULO,Restaurante,4,59.81,concluido
PED000097,22/01/2025,CLI11421,LOJ0217,Campinas,Mercado,2,72.08,concluido
PED000098,2025-01-17,CLI04059,LOJ0271,Campinas,Restaurante,4,57.95,concluido
PED000099,2025-01-30,CLI07792,LOJ0410,Santos,Restaurante,5,"117,97",concluido
PED000100,2025-01-11,CLI04723,LOJ0347,Campinas,Mercado,4,"R$ 114,34",concluido
PED000101,2025-01-16,CLI08428,LOJ0446,Campinas,Restaurante,3,122.11,concluido
PED000102,2025-01-18,CLI03941,LOJ0066,Santos,Restaurante,7,69.88,concluido
PED000103,03/01/2025,CLI14762,LOJ0189,Santos,Mercado,7,86.56,concluido
PED000104,2025-01-18,CLI02939,LOJ0429,Santos,Mercado,1,84.16,concluido
PED000105,2025-01-30,CLI16516,LOJ0400,Sorocaba,Restaurante,5,33.17,concluido
PED000106,2025-01-16,CLI12641,LOJ0353,Campinas,Mercado,2,"135,20",concluido
PED000107,2025-01-28,CLI15121,LOJ0237,Santos,Restaurante,2,71.38,concluido
PED000108,2025-01-07,CLI05165,LOJ0338,Sorocaba,Restaurante,7,33.89,concluido
PED000109,05/01/2025,CLI09791,LOJ0077,São Paulo,Restaurante,2,68.42,concluido
PED000110,2025-01-23,CLI06750,LOJ0427,São Paulo,Restaurante,1,107.69,concluido
PED000111,2025-01-02,CLI01323,LOJ0264,São Paulo,Mercado,1,"R$ 45,73",concluido
PED000112,2025-01-01,CLI15144,LOJ0444,São Paulo,Restaurante,6,90.86,concluido
PED000113,2025-01-13,CLI05827,LOJ0172,Sorocaba,Restaurante,7,"56,46",concluido
PED000114,2025-01-20,CLI15716,LOJ0182,São Paulo,Restaurante,2,47.97,concluido
PED000115,03/01/2025,CLI06677,LOJ0352,SÃO PAULO,Farmácia,5,71.37,concluido
PED000116,2025-01-06,CLI10602,LOJ0246,Campinas,Restaurante,7,51.92,concluido
PED000117,2025-01-07,CLI10588,LOJ0021,Campinas,Farmácia,2,103.19,concluido
PED000118,2025-01-11,CLI04952,LOJ0232,Sorocaba,Restaurante,3,92.50,concluido
PED000119,2025-01-05,CLI16271,LOJ0047,Santos,Restaurante,3,91.53,concluido
PED000120,2025-01-13,CLI07678,LOJ0301,Campinas,Mercado,2,"73,88",concluido
PED000121,26/01/2025,CLI10907,LOJ0369,Campinas,Restaurante,1,65.09,concluido
PED000122,2025-01-30,CLI05261,LOJ0138,São Paulo,Restaurante,6,"R$ 96,79",concluido
PED000123,2025-01-01,CLI16305,LOJ0381,São Paulo,Restaurante,6,72.86,concluido
PED000124,2025-01-15,CLI10025,LOJ0148,São Paulo,Restaurante,2,63.85,concluido
PED000125,2025-01-25,CLI06570,LOJ0084,São Paulo,Mercado,2,51.02,concluido
PED000126,2025-01-16,CLI04428,LOJ0198,Santos,Restaurante,4,86.27,concluido
PED000127,29/01/2025,CLI14182,LOJ0066,Santos,Restaurante,3,"52,75",concluido
PED000128,2025-01-27,CLI03276,LOJ0102,Santos,Restaurante,2,59.40,concluido
PED000129,2025-01-31,CLI10127,LOJ0080,Santos,Restaurante,5,73.69,concluido
PED000130,2025-01-04,CLI06879,LOJ0096,São Paulo,Restaurante,1,129.37,concluido
PED000131,2025-01-18,CLI00646,LOJ0278,São Paulo,Restaurante,5,49.69,concluido
PED000132,2025-01-24,CLI08679,LOJ0257,Campinas,Restaurante,3,58.90,concluido
PED000133,12/01/2025,CLI00902,LOJ0009,São Paulo,Pet shop,3,"R$ 110,22",concluido
PED000134,2025-01-27,CLI02524,LOJ0332,CAMPINAS,Restaurante,7,"144,32",concluido
PED000135,2025-01-21,CLI13247,LOJ0281,Campinas,Restaurante,4,54.18,concluido
PED000136,2025-01-15,CLI06832,LOJ0017,Santos,Farmácia,6,94.94,concluido
PED000137,2025-01-15,CLI10197,LOJ0028,Campinas,Restaurante,3,44.73,concluido
PED000138,2025-01-07,CLI08474,LOJ0444,Santos,Restaurante,1,64.56,concluido
PED000139,18/01/2025,CLI04955,LOJ0048,Santos,Restaurante,7,74.26,concluido
PED000140,2025-01-16,CLI02048,LOJ0246,Sorocaba,Restaurante,6,47.71,concluido
PED000141,2025-01-03,CLI15124,LOJ0166,Campinas,Restaurante,6,"88,06",concluido
PED000142,2025-01-22,CLI06886,LOJ0437,Sorocaba,Restaurante,5,61.15,concluido
PED000143,2025-01-27,CLI02332,LOJ0233,Santos,Farmácia,6,60.94,concluido
PED000144,2025-01-30,CLI09142,LOJ0267,Sorocaba,Restaurante,2,"R$ 103,34",concluido
PED000145,23/01/2025,CLI10052,LOJ0047,Campinas,Restaurante,2,89.89,concluido
PED000146,2025-01-28,CLI15834,LOJ0265,São Paulo,Restaurante,4,59.52,concluido
PED000147,2025-01-18,CLI01075,LOJ0206,Campinas,Restaurante,1,44.26,concluido
PED000148,2025-01-24,CLI08519,LOJ0108,Santos,Pet shop,3,"78,81",concluido
PED000149,2025-01-15,CLI09768,LOJ0098,São Paulo,Mercado,3,92.15,concluido
PED000150,2025-01-01,CLI05491,LOJ0188,Sorocaba,Farmácia,1,85.69,concluido
PED000151,26/01/2025,CLI07606,LOJ0184,Campinas,Restaurante,3,73.77,concluido
PED000152,2025-01-29,CLI07171,LOJ0314,Campinas,Restaurante,5,83.86,concluido
PED000153,2025-01-22,CLI00527,LOJ0359,SANTOS,Restaurante,4,96.71,concluido
PED000154,2025-01-02,CLI08041,LOJ0083,Santos,Restaurante,6,62.01,concluido
PED000155,2025-01-31,CLI14315,LOJ0177,Campinas,Restaurante,3,"R$ 54,94",concluido
PED000156,2025-01-28,CLI05648,LOJ0097,Sorocaba,Farmácia,5,57.75,concluido
PED000157,06/01/2025,CLI02836,LOJ0066,Campinas,Mercado,6,116.77,concluido
PED000158,2025-01-25,CLI10708,LOJ0282,São Paulo,Restaurante,1,105.26,concluido
PED000159,2025-01-12,CLI11234,LOJ0420,Campinas,Restaurante,4,57.50,concluido
PED000160,2025-01-10,CLI07913,LOJ0089,Sorocaba,Restaurante,2,69.96,concluido
PED000161,2025-01-27,CLI05436,LOJ0437,Sorocaba,Restaurante,5,58.84,concluido
PED000162,2025-01-18,CLI10626,LOJ0271,Campinas,Restaurante,5,"83,15",concluido
PED000163,28/01/2025,CLI13682,LOJ0259,Campinas,Restaurante,7,48.70,concluido
PED000164,2025-01-07,CLI01314,LOJ0432,Campinas,Mercado,3,71.09,concluido
PED000165,2025-01-22,CLI07518,LOJ0003,Sorocaba,Mercado,6,82.00,concluido
PED000166,2025-01-02,CLI11847,LOJ0350,Campinas,Restaurante,2,"R$ 26,94",concluido
PED000167,2025-01-17,CLI07584,LOJ0341,São Paulo,Restaurante,3,31.93,concluido
PED000168,2025-01-20,CLI08578,LOJ0082,Sorocaba,Restaurante,6,70.15,concluido
PED000169,27/01/2025,CLI12246,LOJ0427,Sorocaba,Restaurante,1,"38,79",concluido
PED000170,2025-01-10,CLI00928,LOJ0088,São Paulo,Pet shop,5,69.34,concluido
PED000171,2025-01-14,CLI10555,LOJ0026,São Paulo,Mercado,7,76.71,concluido
PED000172,2025-01-28,CLI03666,LOJ0339,SOROCABA,Mercado,7,72.36,concluido
PED000173,2025-01-19,CLI09277,LOJ0195,Santos,Mercado,6,98.61,concluido
PED000174,2025-01-23,CLI10048,LOJ0055,Sorocaba,Pet shop,7,21.56,concluido
PED000175,01/01/2025,CLI11982,LOJ0269,Sorocaba,Restaurante,1,65.76,concluido
PED000176,2025-01-08,CLI16270,LOJ0048,São Paulo,Restaurante,1,"144,56",concluido
PED000177,2025-01-06,CLI13658,LOJ0421,Campinas,Restaurante,7,"R$ 77,68",concluido
PED000178,2025-01-18,CLI04420,LOJ0108,Campinas,Mercado,3,108.11,concluido
PED000179,2025-01-01,CLI05940,LOJ0412,Sorocaba,Restaurante,3,60.92,concluido
PED000180,2025-01-16,CLI04895,LOJ0403,Campinas,Restaurante,1,116.21,concluido
PED000181,22/01/2025,CLI01958,LOJ0144,São Paulo,Restaurante,2,92.52,concluido
PED000182,2025-01-02,CLI08277,LOJ0023,Campinas,Restaurante,3,95.38,concluido
PED000183,2025-01-26,CLI05024,LOJ0301,Campinas,Mercado,5,"60,13",concluido
PED000184,2025-01-04,CLI14121,LOJ0203,Campinas,Restaurante,1,60.55,concluido
PED000185,2025-01-27,CLI03671,LOJ0295,Sorocaba,Restaurante,5,88.09,concluido
PED000186,2025-01-19,CLI17402,LOJ0013,São Paulo,Restaurante,2,79.56,concluido
PED000187,31/01/2025,CLI09474,LOJ0132,Sorocaba,Restaurante,3,60.38,concluido
PED000188,2025-01-24,CLI11958,LOJ0404,Santos,Restaurante,3,"R$ 73,28",concluido
PED000189,2025-01-25,CLI05157,LOJ0041,São Paulo,Restaurante,3,105.03,concluido
PED000190,2025-01-27,CLI03483,LOJ0168,Santos,Restaurante,4,"85,24",concluido
PED000191,2025-01-27,CLI17560,LOJ0343,SÃO PAULO,Restaurante,3,45.68,concluido
PED000192,2025-01-11,CLI01686,LOJ0362,Campinas,Restaurante,5,207.38,concluido
PED000193,04/01/2025,CLI17965,LOJ0021,São Paulo,Restaurante,5,66.30,concluido
PED000194,2025-01-21,CLI12174,LOJ0011,São Paulo,Restaurante,4,97.93,concluido
PED000195,2025-01-27,CLI12892,LOJ0005,São Paulo,Restaurante,6,48.84,concluido
PED000196,2025-01-09,CLI06914,LOJ0071,São Paulo,Mercado,2,139.73,concluido
PED000197,2025-01-21,CLI14333,LOJ0098,São Paulo,Restaurante,3,"140,57",concluido
PED000198,2025-01-31,CLI04116,LOJ0319,São Paulo,Restaurante,4,87.55,concluido
PED000199,30/01/2025,CLI10365,LOJ0299,São Paulo,Restaurante,2,"R$ 126,06",concluido
PED000200,2025-01-29,CLI10485,LOJ0224,Campinas,Mercado,7,51.83,concluido
PED000201,2025-01-24,CLI16828,LOJ0311,Sorocaba,Restaurante,7,97.03,concluido
PED000202,2025-01-19,CLI17112,LOJ0396,Santos,Restaurante,2,86.21,concluido
PED000203,2025-01-10,CLI09021,LOJ0260,São Paulo,Restaurante,5,71.09,concluido
PED000204,2025-01-22,CLI07689,LOJ0170,Campinas,Restaurante,3,"101,97",concluido
PED000205,20/01/2025,CLI06070,LOJ0042,Santos,Restaurante,7,78.77,concluido
PED000206,2025-01-01,CLI04595,LOJ0436,Campinas,Restaurante,5,72.83,concluido
PED000207,2025-01-27,CLI15595,LOJ0185,São Paulo,Restaurante,5,37.39,concluido
PED000208,2025-01-30,CLI15766,LOJ0293,São Paulo,Restaurante,6,69.30,concluido
PED000209,2025-01-23,CLI15512,LOJ0106,Sorocaba,Mercado,2,27.31,concluido
PED000210,2025-01-22,CLI07733,LOJ0265,SOROCABA,Mercado,3,"R$ 85,58",concluido
PED000211,28/01/2025,CLI10424,LOJ0112,Sorocaba,Restaurante,6,"30,86",concluido
PED000212,2025-01-28,CLI04147,LOJ0276,São Paulo,Restaurante,1,80.48,concluido
PED000213,2025-01-03,CLI02730,LOJ0289,Santos,Restaurante,2,98.81,concluido
PED000214,2025-01-12,CLI11610,LOJ0141,São Paulo,Mercado,5,72.63,concluido
PED000215,2025-01-21,CLI16446,LOJ0326,Santos,Restaurante,2,60.21,concluido
PED000216,2025-01-28,CLI02722,LOJ0293,Campinas,Restaurante,2,55.39,concluido
PED000217,29/01/2025,CLI09605,LOJ0069,Sorocaba,Restaurante,1,60.14,concluido
PED000218,2025-01-05,CLI09384,LOJ0237,Sorocaba,Restaurante,2,"91,67",concluido
PED000219,2025-01-04,CLI06617,LOJ0064,Santos,Restaurante,2,88.34,concluido
PED000220,2025-01-30,CLI07977,LOJ0022,Sorocaba,Restaurante,2,68.39,concluido
PED000221,2025-01-27,CLI16938,LOJ0326,São Paulo,Pet shop,5,"R$ 51,89",concluido
PED000222,2025-01-16,CLI14073,LOJ0220,São Paulo,Restaurante,4,50.29,concluido
PED000223,19/01/2025,CLI12279,LOJ0396,São Paulo,Mercado,3,113.82,concluido
PED000224,2025-01-07,CLI03811,LOJ0239,Santos,Farmácia,1,92.62,concluido
PED000225,2025-01-29,CLI16177,LOJ0309,Campinas,Restaurante,7,"111,85",concluido
PED000226,2025-01-22,CLI00289,LOJ0190,Campinas,Mercado,7,159.70,concluido
PED000227,2025-01-04,CLI07713,LOJ0124,Campinas,Pet shop,1,105.48,concluido
PED000228,2025-01-27,CLI14499,LOJ0176,Campinas,Restaurante,3,69.79,concluido
PED000229,20/01/2025,CLI12076,LOJ0173,SÃO PAULO,Restaurante,1,161.30,concluido
PED000230,2025-01-07,CLI01512,LOJ0228,São Paulo,Restaurante,3,46.47,concluido
PED000231,2025-01-07,CLI08177,LOJ0342,São Paulo,Mercado,5,77.01,concluido
PED000232,2025-01-11,CLI03792,LOJ0195,Santos,Restaurante,4,"R$ 52,28",concluido
PED000233,2025-01-17,CLI06793,LOJ0172,Campinas,Restaurante,5,73.89,concluido
PED000234,2025-01-23,CLI07153,LOJ0397,São Paulo,Restaurante,6,35.27,concluido
PED000235,29/01/2025,CLI11027,LOJ0230,Campinas,Restaurante,4,50.26,concluido
PED000236,2025-01-12,CLI10319,LOJ0085,Sorocaba,Restaurante,6,97.10,concluido
PED000237,2025-01-11,CLI00822,LOJ0224,Campinas,Restaurante,2,65.26,concluido
PED000238,2025-01-19,CLI11518,LOJ0090,Campinas,Restaurante,5,106.87,concluido
PED000239,2025-01-22,CLI17987,LOJ0266,São Paulo,Restaurante,7,"97,16",concluido
PED000240,2025-01-11,CLI00868,LOJ0164,Campinas,Restaurante,1,72.34,concluido
PED000241,05/01/2025,CLI02691,LOJ0284,Sorocaba,Mercado,7,52.57,concluido
PED000242,2025-01-16,CLI10936,LOJ0176,São Paulo,Mercado,5,42.62,concluido
PED000243,2025-01-15,CLI01699,LOJ0051,Campinas,Farmácia,2,"R$ 98,38",concluido
PED000244,2025-01-01,CLI14584,LOJ0004,São Paulo,Restaurante,5,81.47,concluido
PED000245,2025-01-11,CLI09576,LOJ0096,São Paulo,Restaurante,3,86.93,concluido
PED000246,2025-01-25,CLI03724,LOJ0012,Campinas,Restaurante,5,"55,79",concluido
PED000247,08/01/2025,CLI06844,LOJ0405,Campinas,Restaurante,5,143.93,concluido
PED000248,2025-01-05,CLI06276,LOJ0203,CAMPINAS,Restaurante,1,66.95,concluido
PED000249,2025-01-31,CLI07009,LOJ0252,Campinas,Mercado,4,84.03,concluido
PED000250,2025-01-20,CLI14047,LOJ0172,Campinas,Restaurante,7,52.09,concluido
PED000251,2025-01-30,CLI05759,LOJ0186,Campinas,Restaurante,7,48.45,concluido
PED000252,2025-01-06,CLI15553,LOJ0108,Campinas,Restaurante,2,122.01,concluido
PED000253,02/01/2025,CLI02961,LOJ0118,Sorocaba,Restaurante,5,"51,76",concluido
PED000254,2025-01-15,CLI15058,LOJ0274,Santos,Restaurante,2,"R$ 56,02",concluido
PED000255,2025-01-21,CLI13537,LOJ0370,Campinas,Mercado,7,80.51,concluido
PED000256,2025-01-22,CLI02667,LOJ0251,Santos,Restaurante,1,37.87,concluido
PED000257,2025-01-29,CLI06822,LOJ0204,Sorocaba,Pet shop,7,58.45,concluido
PED000258,2025-01-12,CLI01629,LOJ0118,Campinas,Restaurante,4,94.85,concluido
PED000259,08/01/2025,CLI05474,LOJ0105,Santos,Mercado,7,92.21,concluido
PED000260,2025-01-31,CLI12995,LOJ0070,São Paulo,Restaurante,5,"91,38",concluido
PED000261,2025-01-18,CLI05558,LOJ0332,São Paulo,Mercado,3,62.06,concluido
PED000262,2025-01-07,CLI01491,LOJ0358,Campinas,Mercado,2,78.81,concluido
PED000263,2025-01-05,CLI06948,LOJ0370,Sorocaba,Restaurante,3,68.85,concluido
PED000264,2025-01-09,CLI08552,LOJ0400,São Paulo,Restaurante,6,107.38,concluido
PED000265,19/01/2025,CLI12805,LOJ0158,São Paulo,Pet shop,4,"R$ 77,40",concluido
PED000266,2025-01-06,CLI15894,LOJ0029,Campinas,Restaurante,7,67.03,concluido
PED000267,2025-01-21,CLI04667,LOJ0339,CAMPINAS,Restaurante,3,"58,56",concluido
PED000268,2025-01-16,CLI12038,LOJ0406,São Paulo,Restaurante,2,85.17,concluido
PED000269,2025-01-26,CLI12721,LOJ0368,Santos,Mercado,5,96.04,concluido
PED000270,2025-01-08,CLI11775,LOJ0282,São Paulo,Farmácia,1,54.95,concluido
PED000271,16/01/2025,CLI05533,LOJ0084,São Paulo,Restaurante,5,32.50,concluido
PED000272,2025-01-18,CLI11248,LOJ0126,Sorocaba,Restaurante,4,61.27,concluido
PED000273,2025-01-26,CLI00372,LOJ0417,Campinas,Restaurante,6,65.19,concluido
PED000274,2025-01-09,CLI00948,LOJ0440,Campinas,Restaurante,2,"53,19",concluido
PED000275,2025-01-31,CLI02999,LOJ0152,Santos,Restaurante,3,72.83,concluido
PED000276,2025-01-08,CLI09235,LOJ0322,São Paulo,Farmácia,4,"R$ 133,57",concluido
PED000277,10/01/2025,CLI12922,LOJ0185,São Paulo,Restaurante,7,60.13,concluido
PED000278,2025-01-12,CLI16707,LOJ0418,São Paulo,Restaurante,1,62.16,concluido
PED000279,2025-01-03,CLI04865,LOJ0157,Campinas,Restaurante,1,69.69,concluido
PED000280,2025-01-05,CLI04137,LOJ0272,Campinas,Farmácia,5,68.94,concluido
PED000281,2025-01-23,CLI12820,LOJ0449,São Paulo,Restaurante,1,"95,87",concluido
PED000282,2025-01-01,CLI04889,LOJ0440,São Paulo,Mercado,7,89.85,concluido
PED000283,16/01/2025,CLI07382,LOJ0102,Sorocaba,Restaurante,6,55.47,concluido
PED000284,2025-01-29,CLI12077,LOJ0289,São Paulo,Restaurante,3,48.46,concluido
PED000285,2025-01-05,CLI05681,LOJ0145,Campinas,Farmácia,7,58.62,concluido
PED000286,2025-01-13,CLI17756,LOJ0199,SÃO PAULO,Pet shop,4,91.70,concluido
PED000287,2025-01-26,CLI02447,LOJ0158,Campinas,Restaurante,3,"R$ 66,68",concluido
PED000288,2025-01-18,CLI02376,LOJ0363,São Paulo,Restaurante,6,"85,13",concluido
PED000289,22/01/2025,CLI09036,LOJ0357,Campinas,Restaurante,3,77.82,concluido
PED000290,2025-01-20,CLI09932,LOJ0104,Campinas,Restaurante,2,105.95,concluido
PED000291,2025-01-06,CLI00041,LOJ0441,Sorocaba,Farmácia,5,35.10,concluido
PED000292,2025-01-10,CLI06871,LOJ0026,Santos,Restaurante,7,58.24,concluido
PED000293,2025-01-18,CLI02752,LOJ0362,São Paulo,Restaurante,1,84.51,concluido
PED000294,2025-01-19,CLI11522,LOJ0377,Santos,Farmácia,4,78.48,concluido
PED000295,31/01/2025,CLI11647,LOJ0211,São Paulo,Farmácia,3,"37,56",concluido
